Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Player
1966,19,NYM,NL,0,1,0,15,2,1,0,0,0,0,3,5,5,5,1,3,1,6,0,0,1,17,28,5.89,2.667,15,3,9,18,2,,,Nolan Ryan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Ryan
1968,21,NYM,NL,6,9,0.4,3.09,21,18,1,3,0,0,134,93,50,46,12,75,4,133,4,0,7,559,98,3.33,1.254,6.2,0.8,5,8.9,1.77,,,Nolan Ryan
1969,22,NYM,NL,6,3,0.667,3.53,25,10,4,2,0,1,89.1,60,38,35,3,53,3,92,1,3,1,375,104,2.7,1.265,6,0.3,5.3,9.3,1.74,,,Nolan Ryan
1970,23,NYM,NL,7,11,0.389,3.42,27,19,4,5,2,1,131.2,86,59,50,10,97,2,125,4,0,8,570,118,4.03,1.39,5.9,0.7,6.6,8.5,1.29,,,Nolan Ryan
1971,24,NYM,NL,10,14,0.417,3.97,30,26,1,3,0,0,152,125,78,67,8,116,4,137,15,1,6,705,86,3.92,1.586,7.4,0.5,6.9,8.1,1.18,,,Nolan Ryan
1972,25,CAL,AL,19,16,0.543,2.28,39,39,0,20,9,0,284,166,80,72,14,157,4,329,10,0,18,1154,128,2.49,1.137,5.3,0.4,5,10.4,2.1,ASCYA-8MVP-30,,Nolan Ryan
1973,26,CAL,AL,21,16,0.568,2.87,41,39,2,26,4,1,326,238,113,104,18,162,2,383,7,0,15,1355,123,2.49,1.227,6.6,0.5,4.5,10.6,2.36,ASCYA-2MVP-17,,Nolan Ryan
1974,27,CAL,AL,22,16,0.579,2.89,42,41,1,26,3,0,332.2,221,127,107,18,202,3,367,9,0,9,1392,118,2.98,1.272,6,0.5,5.5,9.9,1.82,CYA-3MVP-14,,Nolan Ryan
1975,28,CAL,AL,14,12,0.538,3.45,28,28,0,10,5,0,198,152,90,76,13,132,0,186,7,0,12,864,102,3.67,1.434,6.9,0.6,6,8.5,1.41,AS,,Nolan Ryan
1976,29,CAL,AL,17,18,0.486,3.36,39,39,0,21,7,0,284.1,193,117,106,13,183,2,327,5,2,5,1196,99,2.91,1.322,6.1,0.4,5.8,10.4,1.79,,,Nolan Ryan
1977,30,CAL,AL,19,16,0.543,2.77,37,37,0,22,4,0,299,198,110,92,12,204,7,341,9,3,21,1272,141,3.12,1.344,6,0.4,6.1,10.3,1.67,ASCYA-3MVP-24,,Nolan Ryan
1978,31,CAL,AL,10,13,0.435,3.72,31,31,0,14,3,0,234.2,183,106,97,12,148,7,260,3,2,13,1008,98,2.96,1.411,7,0.5,5.7,10,1.76,,,Nolan Ryan
1979,32,CAL,AL,16,14,0.533,3.6,34,34,0,17,5,0,222.2,169,104,89,15,114,3,223,6,0,9,937,113,3.22,1.271,6.8,0.6,4.6,9,1.96,AS,,Nolan Ryan
1980,33,HOU,NL,11,10,0.524,3.35,35,35,0,4,2,0,233.2,205,100,87,10,98,1,200,3,1,10,982,98,2.89,1.297,7.9,0.4,3.8,7.7,2.04,,,Nolan Ryan
1981,34,HOU,NL,11,5,0.688,1.69,21,21,0,5,3,0,149,99,34,28,2,68,1,140,1,2,16,605,195,2.28,1.121,6,0.1,4.1,8.5,2.06,ASCYA-4MVP-16,,Nolan Ryan
1982,35,HOU,NL,16,12,0.571,3.16,35,35,0,10,3,0,250.1,196,100,88,20,109,3,245,8,2,18,1050,105,3.2,1.218,7,0.7,3.9,8.8,2.25,,,Nolan Ryan
1983,36,HOU,NL,14,9,0.609,2.98,29,29,0,5,2,0,196.1,134,74,65,9,101,3,183,4,1,5,804,114,3.09,1.197,6.1,0.4,4.6,8.4,1.81,CYA-9,,Nolan Ryan
1984,37,HOU,NL,12,11,0.522,3.04,30,30,0,5,2,0,183.2,143,78,62,12,69,2,197,4,3,6,760,109,2.66,1.154,7,0.6,3.4,9.7,2.86,,,Nolan Ryan
1985,38,HOU,NL,10,12,0.455,3.8,35,35,0,4,0,0,232,205,108,98,12,95,8,209,9,2,14,983,91,2.9,1.293,8,0.5,3.7,8.1,2.2,AS,,Nolan Ryan
1986,39,HOU,NL,12,8,0.6,3.34,30,30,0,1,0,0,178,119,72,66,14,82,5,194,4,0,15,729,107,3.06,1.129,6,0.7,4.1,9.8,2.37,,,Nolan Ryan
1987,40,HOU,NL,8,16,0.333,2.76,34,34,0,0,0,0,211.2,154,75,65,14,87,2,270,4,2,10,873,142,2.47,1.139,6.5,0.6,3.7,11.5,3.1,CYA-5,,Nolan Ryan
1988,41,HOU,NL,12,11,0.522,3.52,33,33,0,4,1,0,220,186,98,86,18,87,6,228,7,7,10,930,94,3.04,1.241,7.6,0.7,3.6,9.3,2.62,,,Nolan Ryan
1989,42,TEX,AL,16,10,0.615,3.2,32,32,0,6,2,0,239.1,162,96,85,17,98,3,301,9,1,19,988,124,2.51,1.086,6.1,0.6,3.7,11.3,3.07,ASCYA-5MVP-23,,Nolan Ryan
1990,43,TEX,AL,13,9,0.591,3.44,30,30,0,5,2,0,204,137,86,78,18,74,2,232,7,1,9,818,114,2.87,1.034,6,0.8,3.3,10.2,3.14,MVP-25,,Nolan Ryan
1991,44,TEX,AL,12,6,0.667,2.91,27,27,0,2,2,0,173,102,58,56,12,72,0,203,5,0,8,683,140,2.75,1.006,5.3,0.6,3.7,10.6,2.82,,,Nolan Ryan
1992,45,TEX,AL,5,9,0.357,3.72,27,27,0,2,0,0,157.1,138,75,65,9,69,0,157,12,0,9,675,103,3.08,1.316,7.9,0.5,3.9,9,2.28,,,Nolan Ryan
1993,46,TEX,AL,5,5,0.5,4.88,13,13,0,0,0,0,66.1,54,47,36,5,40,0,46,1,0,3,291,86,4.44,1.417,7.3,0.7,5.4,6.2,1.15,,,Nolan Ryan
27 Yrs,27 Yrs,27 Yrs,27 Yrs,324,292,0.526,3.19,807,773,13,222,61,3,5386,3923,2178,1911,321,2795,78,5714,158,33,277,22575,112,2.97,1.247,6.6,0.5,4.7,9.5,2.04,,,Nolan Ryan
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,14,13,0.526,3.19,35,33,1,10,3,0,232,169,94,82,14,120,3,246,7,1,12,972,112,2.97,1.247,6.6,0.5,4.7,9.5,2.04,,,Nolan Ryan
HOU (9 yrs),HOU (9 yrs),HOU (9 yrs),HOU (9 yrs),106,94,0.53,3.13,282,282,0,38,13,0,1854.2,1441,739,645,111,796,31,1866,44,20,104,7716,110,2.87,1.206,7,0.5,3.9,9.1,2.34,,,Nolan Ryan
CAL (8 yrs),CAL (8 yrs),CAL (8 yrs),CAL (8 yrs),138,121,0.533,3.07,291,288,3,156,40,1,2181.1,1520,847,743,115,1302,28,2416,56,7,102,9178,115,2.94,1.294,6.3,0.5,5.4,10,1.86,,,Nolan Ryan
NYM (5 yrs),NYM (5 yrs),NYM (5 yrs),NYM (5 yrs),29,38,0.433,3.58,105,74,10,13,2,2,510,369,230,203,34,344,14,493,24,4,23,2226,98,3.59,1.398,6.5,0.6,6.1,8.7,1.43,,,Nolan Ryan
TEX (5 yrs),TEX (5 yrs),TEX (5 yrs),TEX (5 yrs),51,39,0.567,3.43,129,129,0,15,6,0,840,593,362,320,61,353,5,939,34,2,48,3455,116,2.91,1.126,6.4,0.7,3.8,10.1,2.66,,,Nolan Ryan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Ryan
NL (14 yrs),NL (14 yrs),NL (14 yrs),NL (14 yrs),135,132,0.506,3.23,387,356,10,51,15,2,2364.2,1810,969,848,145,1140,45,2359,68,24,127,9942,107,3.03,1.248,6.9,0.6,4.3,9,2.07,,,Nolan Ryan
AL (13 yrs),AL (13 yrs),AL (13 yrs),AL (13 yrs),189,160,0.542,3.17,420,417,3,171,46,1,3021.1,2113,1209,1063,176,1655,33,3355,90,9,150,12633,115,2.93,1.247,6.3,0.5,4.9,10,2.03,,,Nolan Ryan
